unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
XU-65,,get,myself,1964,Woman,Trafford Council,2021-10,,,,,,,world,XE348209B,UA,DWP,No,,2,,2017-08,2021-05,Below formal levels,Level 3-4,,Yes,the,thought,speak,No,UNLA,,76,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,Creation,2022-12-08,tbc,tbc,tbc,,6 month,2023-05-29,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF-18,amount,former,short,2002,Man,Birmingham City Council,2022-08,,2023-01-01,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2023-01-28,tbc,tbc,tbc,get,6 month,2023-05-18,tbc,tbc,tbc,car,12 month,2023-12-18,tbc,tbc,tbc,,2023-02-26,"Registered business for self-employment, business plan for self-employment, employability, qualifications or skills",network,Self-employment,2022-11-21,Other,,8 to 15 hours,50,formal education,whatever,country,,2023-06-03,Other,0 to 7 hours,99,formal education,opportunity,teacher,,,
JO-00,just,cell,second,1993,Prefer not to say,Hartlepool Borough Council,2022-04,,,,,,,without,NG942915C,GS,Peer,Yes,,,,2019-04,2021-01,Entry level 2,Level 5+,,Yes,bank,region,skin,No,ZHC,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2022-10-30,tbc,tbc,tbc,them,6 month,2023-05-28,tbc,tbc,tbc,western,12 month,2023-12-15,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
TH-78,pull,religious,morning,1985,Other,Darlington Borough Council,2022-05,,2022-11-09,other,,,,,BS685311D,CK,Primary Care,No,,5,,2017-08,2020-11,Entry level 1,Level 1-2,,Yes,thing,best,style,Don't know,UNLA,16 to 30 hours,6,Not in formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,,,,,Employment,2023-01-04,ZHC,,16 to 30 hours,62,formal education,like,wide,,,,,,,,,,,
ES-53,box,trial,term,1980,Prefer not to say,Redcar and Cleveland Council,2021-12,,2022-12-03,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,four,2023-03-22,"Registered business for self-employment, another specified activity, business plan for self-employment, qualifications or skills",,Employment,2022-10-20,PC,,8 to 15 hours,9,Not in formal education,trade,also,,2023-07-04,Other,8 to 15 hours,46,Not in formal education,possible,discussion,,,
FI-70,,drug,become,1969,Prefer not to say,Plymouth City Council,2022-06,process,2023-01-01,RPC,,2023-05-15,RPC,phone,PA949697D,BM,Peer,No,,,"5-11, Caring responsibilities for an adult",2019-04,2021-07,Beyond Level 2,Unknown,25,No,,,fish,No,SE,0 to 7 hours,,Not in formal education,Renting - private sector,,unit,Creation,2022-09-28,tbc,tbc,tbc,,,,,,,,,,,,,,2023-02-20,"Volunteering, another specified activity, qualifications or skills, sector-specific language training",,Self-employment,2022-11-10,SE,,0 to 7 hours,52,formal education,professional,sell,,2023-10-05,SE,49 or more hours,82,Not in formal education,thousand,before,,,
NL-94,,picture,much,1976,Man,Northumberland County Council,2021-11,still,2022-10-26,RPC,,2023-04-27,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-07,tbc,tbc,tbc,study,6 month,2023-05-21,tbc,tbc,tbc,,12 month,2023-11-25,tbc,tbc,tbc,factor,2023-01-25,"Internship, sector-specific language training, work experience",,Self-employment,2022-11-13,Other,,Don't know,54,Not in formal education,whether,range,,2023-08-11,ZHC,49 or more hours,19,formal education,base,environment,,,
JC-47,oil,listen,through,1978,Woman,Bury Council,2022-06,safe,2022-11-29,other,,2023-07-01,RPC,world,BL855126B,TD,HO providers,Yes,0,4,,2017-07,2020-11,Entry level 3,Entry level,,No,,,cover,No,TC,8 to 15 hours,,formal education,Other safe and secure accommodation,,,Creation,2022-12-28,tbc,tbc,tbc,today,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,2023-05-15,"Registered business for self-employment, business plan for self-employment, mentoring and/or coaching, sector-specific language training, work experience",,Self-employment,2023-02-22,ZHC,ZHC,49 or more hours,24,Not in formal education,medical,eight,,2023-08-12,TC,16 to 30 hours,92,Not in formal education,rise,office,,,
FE-53,there,himself,system,1990,Prefer not to say,Newcastle City Council,2021-11,piece,2022-11-28,RPC,,2023-08-09,RLA,everybody,MK252298D,LR,Local VCS,No,,,,2018-08,2021-01,Entry level 1,Level 3-4,,No,,,bill,Yes,ZHC,49 or more hours,,formal education,Other safe and secure accommodation,,management,Creation,2023-02-17,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,fund,12 month,2023-12-13,tbc,tbc,tbc,not,2023-04-25,"Registered business for self-employment, qualifications or skills, work experience",couple,Self-employment,2023-02-19,ZHC,CIH,49 or more hours,43,Not in formal education,successful,memory,,,,,,,,,,,
TV-59,,week,fight,1978,Other,Salford City Council,2021-10,,2023-01-10,other,leader,2023-04-15,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student,2023-04-04,"employability, mentoring and/or coaching, qualifications or skills, work experience",grow,Self-employment,2023-02-15,Other,,8 to 15 hours,21,formal education,choice,pattern,reach,2023-08-31,SE,8 to 15 hours,17,Not in formal education,identify,newspaper,,,
XW-30,example,current,born,1964,Non-binary,Redcar and Cleveland Council,2021-12,,2023-01-06,other,,2023-03-31,other,hot,JC666583B,AL,Migrant Help,No,,8,11-17,2018-04,2021-06,Level 2,Level 5+,,Yes,necessary,as,thought,Don't know,UNLA,,,formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,fire,2023-05-09,"Registered business for self-employment, Volunteering, qualifications or skills, sector-specific language training",,Employment,2023-01-05,Other,PC,8 to 15 hours,83,formal education,which,benefit,,2023-07-28,SE,Don't know,37,formal education,reason,reflect,,,
YU-67,adult,choose,term,1981,Non-binary,Hartlepool Borough Council,2022-06,special,2023-01-15,RLA,,,,address,LX491740A,BO,HO providers,No,7,,,2017-11,2021-03,Below formal levels,Level 5+,,Yes,drive,behind,water,Don't know,ZHC,8 to 15 hours,76,formal education,Publicly funded temporary accommodation,,country,Creation,2022-12-03,tbc,tbc,tbc,,6 month,2023-05-14,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-13,show
OR-06,,tough,bit,1999,Prefer not to say,Tameside Metropolitan Borough Council,2022-06,look,2022-11-03,RLA,,,,,RG966860D,FR,Migrant Help,Yes,,6,,2017-10,2021-03,Below formal levels,Unknown,24,No,,,investment,No,ZHC,,,formal education,Renting - Local authority or housing association,,believe,Creation,2022-10-04,tbc,tbc,tbc,,6 month,2023-05-18,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-14,teacher,who,this,1978,Woman,Plymouth City Council,2022-01,certainly,2022-12-16,RLA,,,,,EX751113D,MH,Peer,No,1,3,11-17,2018-07,2020-08,Below formal levels,Level 3-4,,No,,,bring,Yes,ZHC,,,formal education,Homeless and rough sleeping,Non-statutory homelessness,of,Creation,2023-01-08,tbc,tbc,tbc,,,,,,,,,,,,,daughter,2023-04-26,"Registered business for self-employment, Volunteering, business plan for self-employment, qualifications or skills",agree,Self-employment,2022-10-21,PC,,49 or more hours,64,formal education,already,item,,2023-09-05,TC,31 to 48 hours,1,formal education,among,law,,,
OZ-39,,treat,turn,1965,Other,Northumberland County Council,2021-12,,,,,,,international,PC936912A,MR,Self-referrals,Yes,8,5,,2020-02,2021-10,Entry level 1,Level 3-4,,Yes,identify,more,few,Don't know,ZHC,Don't know,58,Not in formal education,Other safe and secure accommodation,,,Creation,2022-12-29,tbc,tbc,tbc,,6 month,2023-05-23,tbc,tbc,tbc,look,12 month,2023-12-10,tbc,tbc,tbc,,,,,Self-employment,2022-10-03,PC,Other,8 to 15 hours,20,formal education,itself,feeling,,,,,,,,,,,
JH-86,off,sense,down,2001,Other,Stockton Council,2022-03,,2022-12-24,RPC,,,,budget,AB211787C,KP,Other,No,5,,,2017-12,2021-11,Level 1,Level 3-4,,No,,,give,No,ULA,,,formal education,Other safe and secure accommodation,,state,Creation,2022-12-12,tbc,tbc,tbc,,6 month,2023-05-23,tbc,tbc,tbc,number,12 month,2023-11-30,tbc,tbc,tbc,,,,PM,Self-employment,2023-02-14,Other,,Don't know,40,Not in formal education,shoulder,run,,,,,,,,,,,
NM-71,,upon,who,1995,Non-binary,South Tyneside Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2023-01-29,tbc,tbc,tbc,conference,6 month,2023-06-04,tbc,tbc,tbc,,12 month,2023-12-14,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
EO-17,economy,base,work,1960,Man,Birmingham City Council,2022-09,,,,,,,,PR328972B,TK,Other,Yes,,,0-4,2020-05,2021-05,Entry level 3,Below formal levels,,No,,,value,Yes,Other,31 to 48 hours,,formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2023-01-23,tbc,tbc,tbc,,6 month,2023-06-01,tbc,tbc,tbc,,12 month,2023-12-14,tbc,tbc,tbc,,2023-05-24,"Internship, qualifications or skills, work experience",,Self-employment,2022-11-17,TC,CIH,49 or more hours,43,formal education,event,drug,per,2023-10-06,CIH,16 to 30 hours,78,Not in formal education,marriage,spring,,,
FT-80,,north,finally,1999,Other,Middlesbrough Council,2021-10,,,,,,,step,MM273480B,NL,Self-referrals,No,,0,"11-17, Caring responsibilities for an adult",2017-11,2021-07,Entry level 1,Unknown,22,No,,,best,No,SE,0 to 7 hours,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,,,life,Self-employment,2022-10-12,TC,,Don't know,4,formal education,least,apply,,,,,,,,,,,
SQ-93,,protect,real,1973,Other,Sunderland City Council,2022-05,,,,,,,statement,MB947641D,EH,Local VCS,No,,,"11-17, Caring responsibilities for an adult",2018-04,2021-04,Level 2,Unknown,18,Yes,south,spring,argue,No,CIH,0 to 7 hours,,Not in formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,difference,2023-05-09,"Internship, mentoring and/or coaching, sector-specific language training",,Self-employment,2022-11-21,SE,,8 to 15 hours,2,Not in formal education,fund,ready,,2023-08-06,ZHC,16 to 30 hours,19,Not in formal education,ask,bag,,,
IK-40,,resource,still,1986,Non-binary,South Tyneside Council,2021-12,player,2022-12-03,RPC,positive,2023-04-05,RLA,idea,KW606931D,BW,Home Office,No,,,,2019-10,2021-05,Entry level 2,Entry level,,Yes,feeling,difficult,forget,Yes,ZHC,,16,formal education,Asylum accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,big,2022-03-17,
QI-15,our,step,parent,1972,Prefer not to say,Sunderland City Council,2022-05,,,,,,,,TH920059D,GT,Primary Care,No,,3,"0-4, 5-11",2019-05,2021-08,Below formal levels,Unknown,16,Yes,son,kind,book,Yes,ZHC,,63,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-12-10,tbc,tbc,tbc,mother,6 month,2023-05-15,tbc,tbc,tbc,debate,12 month,2023-12-14,tbc,tbc,tbc,thought,2023-06-05,"Registered business for self-employment, Volunteering, employability, qualifications or skills",although,Employment,2023-02-22,CIH,,8 to 15 hours,5,formal education,region,her,thousand,2023-09-25,TC,Don't know,42,formal education,approach,second,,,
ZS-04,,attorney,enjoy,1958,Other,Sunderland City Council,2022-03,time,2022-11-21,RPC,,2023-06-04,other,,GW969400B,TW,Home Office,Yes,,,,2019-09,2020-12,Entry level 1,Unknown,14,No,,,school,Yes,UNLA,,17,Not in formal education,Renting - private sector,,,Creation,2022-12-10,tbc,tbc,tbc,opportunity,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-11-29,tbc,tbc,tbc,,2023-05-03,"another specified activity, business plan for self-employment, mentoring and/or coaching",,Self-employment,2022-12-18,ZHC,,0 to 7 hours,38,formal education,season,any,chance,2023-07-14,SE,31 to 48 hours,72,formal education,at,wear,,,
GA-03,edge,new,open,1973,Prefer not to say,Bury Council,2022-04,,,,,,,herself,BY214659A,KI,Other,No,,,Caring responsibilities for an adult,2017-04,2021-01,Pre-entry,Entry level,,No,,,difficult,No,Other,,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,Creation,2022-11-04,tbc,tbc,tbc,,6 month,2023-05-20,tbc,tbc,tbc,,12 month,2023-11-29,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
PE-44,live,relate,hair,1982,Non-binary,Plymouth City Council,2022-07,feel,2022-11-24,other,,2023-09-01,other,trip,XN157483B,EH,Primary Care,Yes,,2,,2019-02,2021-12,Level 2,Level 1-2,,No,,,once,Don't know,TC,,62,formal education,Renting - private sector,,suggest,Creation,2022-10-21,tbc,tbc,tbc,,,,,,,,,,,,,,2023-04-01,"employability, mentoring and/or coaching, training course, work experience",,Employment,2023-01-24,TC,PC,31 to 48 hours,40,formal education,market,program,recent,2023-06-17,SE,8 to 15 hours,10,Not in formal education,attorney,main,,,
PZ-88,respond,change,foot,2000,Woman,Plymouth City Council,2022-03,,,,,,,car,TJ360492B,JP,Other,Yes,,7,,2020-01,2021-10,Level 2,Below formal levels,,Yes,understand,official,detail,No,SE,,87,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,involve,Creation,2022-09-27,tbc,tbc,tbc,class,6 month,2023-06-05,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,,,,Employment,2023-02-04,SE,Other,0 to 7 hours,29,Not in formal education,win,finish,,,,,,,,,popular,2022-04-07,race
OM-13,,task,quality,1976,Other,Stockport Metropolitan Borough Council,2021-11,,2023-01-05,other,then,2023-05-16,other,,,,,,,,,,,,,,,,,,,,,,,,,letter,Creation,2022-12-18,tbc,tbc,tbc,soon,6 month,2023-06-01,tbc,tbc,tbc,what,12 month,2023-12-05,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
PO-96,,budget,place,1963,Woman,South Tyneside Council,2022-09,,2023-01-16,other,,2023-08-05,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-18,tbc,tbc,tbc,,6 month,2023-05-16,tbc,tbc,tbc,check,12 month,2023-11-29,tbc,tbc,tbc,need,2023-04-21,"Internship, another specified activity, work experience",major,Self-employment,2023-02-06,ZHC,,16 to 30 hours,3,formal education,site,five,,,,,,,,,,,
RC-47,,behavior,describe,1981,Woman,Salford City Council,2022-03,will,2022-12-25,RPC,,,,maybe,LL596227D,KP,Other Health,No,2,7,,2018-02,2020-09,Level 1,Level 3-4,,Yes,total,help,everyone,No,PC,31 to 48 hours,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2022-12-12,tbc,tbc,tbc,garden,6 month,2023-05-27,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,sit,2022-07-23,enter
EK-73,memory,west,discuss,2003,Prefer not to say,Newcastle City Council,2022-09,,,,,,,author,,VN,Home Office,No,,3,Caring responsibilities for an adult,2019-03,2021-04,Entry level 3,Unknown,21,Yes,better,white,idea,Don't know,ZHC,Don't know,,formal education,Renting - private sector,,town,Creation,2022-12-15,tbc,tbc,tbc,fall,6 month,2023-05-30,tbc,tbc,tbc,leg,12 month,2023-12-06,tbc,tbc,tbc,edge,2023-04-24,"Registered business for self-employment, business plan for self-employment, qualifications or skills, work experience",former,Employment,2023-01-02,SE,TC,Don't know,25,formal education,lot,manager,,2023-09-03,ZHC,49 or more hours,97,Not in formal education,under,size,,,
OL-56,require,money,ahead,1990,Woman,Coventry City Council,2022-09,,,,,,,,MK047887A,CC,Local VCS,No,,4,,2018-12,2021-09,Level 1,Entry level,,Yes,car,wish,church,No,ZHC,8 to 15 hours,,formal education,Publicly funded temporary accommodation,,degree,Creation,2023-02-18,tbc,tbc,tbc,,6 month,2023-06-04,tbc,tbc,tbc,,,,,,,daughter,2023-01-28,"Registered business for self-employment, employability, training course",building,Employment,2022-10-25,PC,PC,16 to 30 hours,92,Not in formal education,behind,have,hope,2023-07-11,SE,8 to 15 hours,99,Not in formal education,capital,senior,wait,2022-04-03,production
NC-31,own,fish,much,1996,Other,Northumberland County Council,2022-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,Creation,2022-10-25,tbc,tbc,tbc,,,,,,,,,,,,,imagine,2023-04-24,"Internship, Registered business for self-employment, another specified activity, mentoring and/or coaching, training course",low,Self-employment,2022-11-28,ZHC,TC,16 to 30 hours,40,formal education,development,cell,,,,,,,,,,,
PM-37,,onto,act,1992,Non-binary,Sandwell Council,2021-12,,2022-11-09,other,make,2023-09-02,RPC,mean,NR071913C,PS,Other Health,No,3,,"0-4, 5-11",2017-08,2020-09,Entry level 2,Level 5+,,No,,,hard,No,Other,Don't know,,Not in formal education,Publicly funded temporary accommodation,,,Creation,2023-02-12,tbc,tbc,tbc,recently,6 month,2023-05-15,tbc,tbc,tbc,onto,12 month,2023-12-06,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
PD-33,,outside,of,1963,Other,Bury Council,2022-08,,2022-11-06,other,they,2023-04-04,RLA,property,KY188950B,SA,LA,No,,,,2018-06,2021-01,Pre-entry,Level 1-2,,Yes,technology,participant,include,Don't know,CIH,49 or more hours,39,formal education,Other safe and secure accommodation,,,Creation,2022-12-12,tbc,tbc,tbc,she,6 month,2023-05-18,tbc,tbc,tbc,,,,,,,,,,party,Employment,2022-12-07,PC,TC,8 to 15 hours,31,formal education,hundred,pattern,,,,,,,,,,2022-04-01,miss
RM-42,,perform,concern,1991,Woman,North Tyneside Council,2021-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-12-20,tbc,tbc,tbc,,6 month,2023-05-18,tbc,tbc,tbc,,12 month,2023-11-24,tbc,tbc,tbc,environmental,2023-02-16,"Internship, Volunteering, another specified activity, qualifications or skills",,Self-employment,2023-02-17,PC,Other,49 or more hours,47,formal education,know,occur,whose,2023-08-25,ZHC,Don't know,69,Not in formal education,party,large,,,
OM-43,,particular,successful,1963,Woman,Rochdale Borough Council,2022-02,,2022-10-27,RLA,public,2023-07-04,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-18,"Internship, employability, mentoring and/or coaching, qualifications or skills",,Employment,2022-10-17,PC,PC,0 to 7 hours,58,Not in formal education,to,player,,,,,,,,,,,
JQ-06,,conference,work,2002,Other,Gateshead Council,2021-10,,,,,,,war,XY077555B,BW,Other,Yes,4,,Caring responsibilities for an adult,2018-12,2020-06,Level 2,Level 5+,,No,,,member,No,TC,,66,formal education,Renting - private sector,,,Creation,2023-01-28,tbc,tbc,tbc,laugh,6 month,2023-05-21,tbc,tbc,tbc,,12 month,2023-12-06,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,2022-05-24,
WW-02,,station,what,1960,Non-binary,Tameside Metropolitan Borough Council,2022-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at,Creation,2022-12-19,tbc,tbc,tbc,,6 month,2023-05-23,tbc,tbc,tbc,,,,,,,,2023-05-30,"Registered business for self-employment, another specified activity, sector-specific language training",,Employment,2022-10-02,SE,,0 to 7 hours,66,formal education,draw,condition,,,,,,,,,week,2022-03-15,
CM-00,,cup,color,1985,Man,Oldham Council,2021-10,friend,2022-12-01,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-12-19,tbc,tbc,tbc,check,6 month,2023-05-27,tbc,tbc,tbc,,,,,,,your,2023-04-10,"Internship, Volunteering, another specified activity",quite,Employment,2023-02-25,ZHC,TC,16 to 30 hours,26,Not in formal education,hotel,still,network,2023-07-07,Other,16 to 30 hours,71,formal education,born,drop,,,
